@relation index_dmc_new_attributes_8(1)

@attribute cd0 numeric
@attribute cd1 numeric
@attribute cd2 numeric
@attribute cd3 numeric
@attribute cd4 numeric
@attribute cd5 numeric
@attribute cd6 numeric
@attribute cd7 numeric
@attribute cd8 numeric
@attribute cd9 numeric
@attribute cd10 numeric
@attribute cd11 numeric
@attribute rcd0 numeric
@attribute rcd1 numeric
@attribute rcd2 numeric
@attribute rcd3 numeric
@attribute rcd4 numeric
@attribute rcd5 numeric
@attribute rcd6 numeric
@attribute rcd7 numeric
@attribute rcd8 numeric
@attribute rcd9 numeric
@attribute rcd10 numeric
@attribute rcd11 numeric
@attribute icd0 numeric
@attribute icd1 numeric
@attribute icd2 numeric
@attribute icd3 numeric
@attribute icd4 numeric
@attribute icd5 numeric
@attribute icd6 numeric
@attribute icd7 numeric
@attribute icd8 numeric
@attribute icd9 numeric
@attribute icd10 numeric
@attribute icd11 numeric
@attribute ird0 numeric
@attribute ird1 numeric
@attribute ird2 numeric
@attribute ird3 numeric
@attribute ird4 numeric
@attribute ird5 numeric
@attribute ird6 numeric
@attribute ird7 numeric
@attribute ird8 numeric
@attribute ird9 numeric
@attribute ird10 numeric
@attribute ird11 numeric
@attribute nr15 numeric
@attribute nr30 numeric
@attribute nr45 numeric
@attribute nr60 numeric
@attribute nr75 numeric
@attribute nr90 numeric
@attribute nr105 numeric
@attribute nr120 numeric
@attribute nr135 numeric
@attribute nr150 numeric
@attribute nr165 numeric
@attribute nr180 numeric
@attribute nr195 numeric
@attribute nr210 numeric
@attribute nr225 numeric
@attribute nr240 numeric
@attribute nr255 numeric
@attribute nr270 numeric
@attribute nr285 numeric
@attribute nr300 numeric
@attribute nr315 numeric
@attribute nr330 numeric
@attribute nr345 numeric
@attribute nr360 numeric
@attribute nr375 numeric
@attribute nr390 numeric
@attribute nr405 numeric
@attribute nr420 numeric
@attribute nr435 numeric
@attribute nr450 numeric
@attribute nr465 numeric
@attribute nr480 numeric
@attribute nr495 numeric
@attribute nr510 numeric
@attribute nr525 numeric
@attribute nr540 numeric
@attribute nr555 numeric
@attribute nr570 numeric
@attribute nr585 numeric
@attribute nr600 numeric
@attribute rnr15 numeric
@attribute rnr30 numeric
@attribute rnr45 numeric
@attribute rnr60 numeric
@attribute rnr75 numeric
@attribute rnr90 numeric
@attribute rnr105 numeric
@attribute rnr120 numeric
@attribute rnr135 numeric
@attribute rnr150 numeric
@attribute rnr165 numeric
@attribute rnr180 numeric
@attribute rnr195 numeric
@attribute rnr210 numeric
@attribute rnr225 numeric
@attribute rnr240 numeric
@attribute rnr255 numeric
@attribute rnr270 numeric
@attribute rnr285 numeric
@attribute rnr300 numeric
@attribute rnr315 numeric
@attribute rnr330 numeric
@attribute rnr345 numeric
@attribute rnr360 numeric
@attribute rnr375 numeric
@attribute rnr390 numeric
@attribute rnr405 numeric
@attribute rnr420 numeric
@attribute rnr435 numeric
@attribute rnr450 numeric
@attribute rnr465 numeric
@attribute rnr480 numeric
@attribute rnr495 numeric
@attribute rnr510 numeric
@attribute rnr525 numeric
@attribute rnr540 numeric
@attribute rnr555 numeric
@attribute rnr570 numeric
@attribute rnr585 numeric
@attribute rnr600 numeric
@attribute inr15 numeric
@attribute inr30 numeric
@attribute inr45 numeric
@attribute inr60 numeric
@attribute inr75 numeric
@attribute inr90 numeric
@attribute inr105 numeric
@attribute inr120 numeric
@attribute inr135 numeric
@attribute inr150 numeric
@attribute inr165 numeric
@attribute inr180 numeric
@attribute inr195 numeric
@attribute inr210 numeric
@attribute inr225 numeric
@attribute inr240 numeric
@attribute inr255 numeric
@attribute inr270 numeric
@attribute inr285 numeric
@attribute inr300 numeric
@attribute inr315 numeric
@attribute inr330 numeric
@attribute inr345 numeric
@attribute inr360 numeric
@attribute inr375 numeric
@attribute inr390 numeric
@attribute inr405 numeric
@attribute inr420 numeric
@attribute inr435 numeric
@attribute inr450 numeric
@attribute inr465 numeric
@attribute inr480 numeric
@attribute inr495 numeric
@attribute inr510 numeric
@attribute inr525 numeric
@attribute inr540 numeric
@attribute inr555 numeric
@attribute inr570 numeric
@attribute inr585 numeric
@attribute inr600 numeric
@attribute irnr15 numeric
@attribute irnr30 numeric
@attribute irnr45 numeric
@attribute irnr60 numeric
@attribute irnr75 numeric
@attribute irnr90 numeric
@attribute irnr105 numeric
@attribute irnr120 numeric
@attribute irnr135 numeric
@attribute irnr150 numeric
@attribute irnr165 numeric
@attribute irnr180 numeric
@attribute irnr195 numeric
@attribute irnr210 numeric
@attribute irnr225 numeric
@attribute irnr240 numeric
@attribute irnr255 numeric
@attribute irnr270 numeric
@attribute irnr285 numeric
@attribute irnr300 numeric
@attribute irnr315 numeric
@attribute irnr330 numeric
@attribute irnr345 numeric
@attribute irnr360 numeric
@attribute irnr375 numeric
@attribute irnr390 numeric
@attribute irnr405 numeric
@attribute irnr420 numeric
@attribute irnr435 numeric
@attribute irnr450 numeric
@attribute irnr465 numeric
@attribute irnr480 numeric
@attribute irnr495 numeric
@attribute irnr510 numeric
@attribute irnr525 numeric
@attribute irnr540 numeric
@attribute irnr555 numeric
@attribute irnr570 numeric
@attribute irnr585 numeric
@attribute irnr600 numeric
@attribute alpha0 numeric
@attribute alpha1 numeric
@attribute alpha2 numeric
@attribute alpha3 numeric
@attribute alpha4 numeric
@attribute alpha5 numeric
@attribute alpha6 numeric
@attribute alpha7 numeric
@attribute alpha8 numeric
@attribute alpha9 numeric
@attribute alpha10 numeric
@attribute alpha11 numeric
@attribute alpha12 numeric
@attribute alpha13 numeric
@attribute alpha14 numeric
@attribute alpha15 numeric
@attribute alpha16 numeric
@attribute alpha17 numeric
@attribute alpha18 numeric
@attribute alpha19 numeric
@attribute alpha20 numeric
@attribute alpha21 numeric
@attribute alpha22 numeric
@attribute alpha23 numeric
@attribute beta0 numeric
@attribute beta1 numeric
@attribute beta2 numeric
@attribute beta3 numeric
@attribute beta4 numeric
@attribute beta5 numeric
@attribute beta6 numeric
@attribute beta7 numeric
@attribute beta8 numeric
@attribute beta9 numeric
@attribute beta10 numeric
@attribute beta11 numeric
@attribute class {+,-,0}

@data
32.202484,44.418465,55.226805,64.350602,71.344236,71.867934,74.732858,77.058419,90.255194,98.493655,101.237345,101.651365,0.316793,0.436969,0.543296,0.633052,0.701852,0.707004,0.735188,0.758066,0.88789,0.968936,0.995927,1,32.202484,12.21598,10.80834,9.123797,6.993634,0.523699,2.864923,2.325562,13.196774,8.238461,2.74369,0.41402,0.316793,0.120175,0.106328,0.089756,0.0688,0.005152,0.028184,0.022878,0.129824,0.081046,0.026991,0.004073,0,0,2,3,7,8,12,13,14,16,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0.1,0.15,0.35,0.4,0.6,0.65,0.7,0.8,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,4,1,4,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.2,0.05,0.2,0.05,0.05,0.1,0.1,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.841815,15.841815,298.184975,358.184975,81.805571,84.805571,311.370401,17.370401,298.239215,176.239215,18.209226,58.209226,291.507405,347.507405,354.768825,40.768825,347.433314,209.433314,308.295373,193.295373,314.802452,24.802452,12.403425,48.403425,305,300,357,294,122,320,304,314,138,115,290,324,+
17.464249,50.960769,56.462377,64.404969,86.127812,94.936821,96.083297,108.295891,123.66487,123.891081,135.532284,137.767921,0.126766,0.369903,0.409837,0.467489,0.625166,0.689107,0.697429,0.786075,0.897632,0.899274,0.983772,1,17.464249,33.49652,5.501608,7.942592,21.722843,8.809009,1.146476,12.212594,15.368979,0.226211,11.641203,2.235637,0.126766,0.243137,0.039934,0.057652,0.157677,0.063941,0.008322,0.088646,0.111557,0.001642,0.084499,0.016228,0,1,1,3,4,5,7,8,10,13,17,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0.05,0.05,0.15,0.2,0.25,0.35,0.4,0.5,0.65,0.85,0.85,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,1,1,2,1,2,3,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.1,0.05,0.05,0.1,0.05,0.1,0.15,0.2,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.370622,23.370622,65.054604,205.054604,103.9321,79.9321,134.841815,130.841815,96.488501,254.488501,57.405179,189.405179,83.385944,41.385944,76.763605,218.763605,63.590697,199.590697,108.39237,274.39237,108.699473,89.699473,120.699073,111.699073,34,220,24,4,202,228,42,218,224,194,19,9,+
33.105891,53.535035,62.968246,64.404969,66.910388,72.173402,75.286121,76.941536,82.734515,92.195445,102.474387,103.406963,0.320151,0.517712,0.608936,0.62283,0.647059,0.697955,0.728057,0.744065,0.800087,0.891579,0.990981,1,33.105891,20.429145,9.433211,1.436723,2.505419,5.263014,3.112719,1.655415,5.792979,9.460929,10.278942,0.932576,0.320151,0.197561,0.091224,0.013894,0.024229,0.050896,0.030102,0.016009,0.056021,0.091492,0.099403,0.009019,0,0,1,2,6,9,12,15,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0.05,0.1,0.3,0.45,0.6,0.75,0.9,0.9,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,4,3,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.2,0.15,0.15,0.15,0.15,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.016893,352.016893,44.200469,206.200469,326.550452,296.550452,310.841815,314.841815,356.462322,140.462322,80.972496,250.972496,37.389312,359.389312,104.897271,99.897271,84.640407,69.640407,36.398705,182.398705,15.565837,151.565837,67.537678,233.537678,20,198,30,356,216,190,38,5,15,214,224,194,+
28.653098,31.256999,56.639209,57.140179,61.911227,62.968246,68.949257,76.941536,82.807005,84.593144,85.276022,95.963535,0.298583,0.325717,0.590216,0.595436,0.645154,0.656168,0.718494,0.801779,0.862901,0.881513,0.888629,1,28.653098,2.603902,25.38221,0.500969,4.771048,1.057019,5.981011,7.99228,5.865468,1.786139,0.682878,10.687512,0.298583,0.027134,0.264498,0.00522,0.049717,0.011015,0.062326,0.083285,0.061122,0.018613,0.007116,0.111371,0,1,2,4,7,11,13,14,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0.05,0.1,0.2,0.35,0.55,0.65,0.7,0.9,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,3,4,2,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.1,0.15,0.2,0.1,0.05,0.2,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.248826,1.248826,349.352379,164.352379,29.862405,12.862405,39.144278,200.144278,130.87753,121.87753,14.680555,185.680555,322.51387,129.51387,279.897271,284.897271,24.552951,189.552951,335.211025,302.211025,302.710593,287.710593,15.524473,175.524473,10,185,17,199,9,189,193,355,195,33,15,200,-
61.911227,80.049984,85.510233,88.543774,91.547802,106.018866,116.498927,130.188325,133.869339,134.647688,143.293405,146.823023,0.421672,0.545214,0.582403,0.603065,0.623525,0.722086,0.793465,0.886702,0.911773,0.917075,0.97596,1,61.911227,18.138758,5.460249,3.033541,3.004027,14.471065,10.480061,13.689398,3.681014,0.778349,8.645717,3.529617,0.421672,0.123542,0.037189,0.020661,0.02046,0.098561,0.071379,0.093237,0.025071,0.005301,0.058885,0.02404,0,0,0,0,1,4,5,7,10,12,14,16,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0.05,0.2,0.25,0.35,0.5,0.6,0.7,0.8,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,3,1,2,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.15,0.05,0.1,0.15,0.1,0.1,0.1,0.1,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.87753,310.87753,320.005383,319.005383,343.784298,153.784298,314.565051,138.565051,339.271077,331.271077,334.080924,154.080924,344.888658,158.888658,308.009694,124.009694,284.669083,298.669083,341.972627,150.972627,315.956066,291.956066,297.144772,291.144772,351,1,190,176,8,180,186,184,346,191,24,6,+
11.661904,28.653098,30.870698,34.409301,34.525353,54.488531,55.317267,63.694584,67.424031,72.006944,79.40403,80.049984,0.145683,0.35794,0.385643,0.429848,0.431297,0.680681,0.691034,0.795685,0.842274,0.899525,0.991931,1,11.661904,16.991194,2.217601,3.538603,0.116052,19.963178,0.828736,8.377317,3.729448,4.582913,7.397086,0.645954,0.145683,0.212257,0.027703,0.044205,0.00145,0.249384,0.010353,0.104651,0.046589,0.057251,0.092406,0.008069,1,2,5,7,10,13,16,17,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.05,0.1,0.25,0.35,0.5,0.65,0.8,0.85,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.15,0.1,0.15,0.15,0.15,0.05,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272.963757,97.963757,181.248826,191.248826,37.095231,30.095231,7.537678,188.537678,51.99202,222.99202,289.231175,106.231175,21.398705,196.398705,309.864508,286.864508,7.340107,177.340107,322.406866,123.406866,273.087505,268.087505,139.005383,140.005383,175,350,7,179,189,183,185,23,190,199,5,359,-
31.016125,33.105891,36.124784,46.227697,47.539457,56.462377,63.529521,67.742158,69.46222,79.40403,85.276022,88.526832,0.350358,0.373964,0.408066,0.522189,0.537006,0.6378,0.71763,0.765216,0.784646,0.896949,0.963279,1,31.016125,2.089766,3.018893,10.102914,1.31176,8.92292,7.067144,4.212638,1.720062,9.94181,5.871992,3.25081,0.350358,0.023606,0.034101,0.114123,0.014818,0.100793,0.079831,0.047586,0.01943,0.112303,0.06633,0.036721,0,0,3,6,9,13,14,17,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0.15,0.3,0.45,0.65,0.7,0.85,0.85,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,3,3,4,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.2,0.05,0.15,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.84761,240.84761,172.016893,192.016893,322.236358,126.236358,275.853374,265.853374,34.750976,16.750976,259.9321,283.9321,28.82141,194.82141,88.108809,278.108809,357.256437,153.256437,88.087505,93.087505,107.710593,122.710593,15.205216,175.205216,178,340,196,10,18,336,194,170,204,355,345,200,+
9.219544,17,26.925824,30.870698,38.639358,43.416587,56.639209,69.42622,70.384657,70.45566,71.344236,91.547802,0.100707,0.185695,0.294118,0.337209,0.422068,0.47425,0.618685,0.75836,0.76883,0.769605,0.779311,1,9.219544,7.780456,9.925824,3.944874,7.76866,4.777229,13.222622,12.787011,0.958438,0.071002,0.888576,20.203566,0.100707,0.084988,0.108422,0.043091,0.084859,0.052183,0.144434,0.139676,0.010469,0.000776,0.009706,0.220689,1,3,6,7,11,11,14,17,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.05,0.15,0.3,0.35,0.55,0.55,0.7,0.85,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,0,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.15,0.05,0.2,0,0.15,0.15,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.398705,282.398705,296.927513,124.927513,356.328693,178.328693,210.095231,217.095231,224.562525,56.562525,339.676393,156.676393,192.862405,209.862405,276.496468,260.496468,257.557247,81.557247,290.407711,98.407711,356.239215,118.239215,151.271077,159.271077,182,172,178,353,168,183,343,16,176,192,238,352,-
17.464249,33.734256,46.227697,62.968246,73.409809,77.472576,80.752709,92.005435,106.320271,113.718952,125.363472,130.862523,0.133455,0.257784,0.353254,0.481179,0.560969,0.592015,0.61708,0.703069,0.812458,0.868996,0.957978,1,17.464249,16.270006,12.493442,16.740549,10.441563,4.062767,3.280133,11.252726,14.314836,7.398681,11.64452,5.499052,0.133455,0.124329,0.09547,0.127925,0.07979,0.031046,0.025065,0.085989,0.109388,0.056538,0.088983,0.042022,0,1,2,3,5,7,8,10,13,16,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0.05,0.1,0.15,0.25,0.35,0.4,0.5,0.65,0.8,0.85,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,1,2,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.1,0.1,0.05,0.1,0.15,0.15,0.05,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.370622,237.370622,35.023868,209.023868,85.853374,95.853374,116.550452,146.550452,71.120983,263.120983,23.412969,189.412969,54.829077,46.829077,46.377244,222.377244,30.61046,200.61046,81.249033,281.249033,80.943587,95.943587,93.548158,118.548158,326,186,350,330,168,194,8,184,190,160,345,335,+
16.970563,23.021729,42.953463,46.52956,47.539457,50.328918,53.823787,54.81788,63.126856,63.694584,69.42622,69.892775,0.242809,0.329386,0.614562,0.665728,0.680177,0.720088,0.770091,0.784314,0.903196,0.911319,0.993325,1,16.970563,6.051166,19.931734,3.576097,1.009897,2.789461,3.494868,0.994094,8.308976,0.567727,5.731636,0.466555,0.242809,0.086578,0.285176,0.051165,0.014449,0.039911,0.050003,0.014223,0.118882,0.008123,0.082006,0.006675,0,2,3,8,12,16,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0.1,0.15,0.4,0.6,0.8,0.9,0.95,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,5,4,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.25,0.2,0.2,0.1,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,178,163.380345,3.380345,296.905243,110.905243,337.217356,155.217356,196.750976,214.750976,239.955777,61.955777,74.166436,278.166436,114.203238,322.203238,42.632951,235.632951,106.864508,129.864508,80.496468,96.496468,58.212672,256.212672,176,160,186,182,342,178,156,152,167,337,344,162,-
